Negative Feedback 1,Negative Feedback 2,Negative Feedback 3,Negative Feedback 4,Negative Feedback 5,Negative Feedback 6
I can't understand the method of teaching,,,,some books are not provided and quality is very bad,No extracurricular activities are conducted
The instructor don't use any examples for explaination.,The course content provide by this teacher is not sufficient for exams,,,,
The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,,,,,
Very poor,,Poor,,,
Bad,Not covered,Very hard,,,No time for extracurricular
Too fast,,,Manuals weren't upto date ,Books aren't available ,
Cooperation needed with students,,,,,
The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,,,,,
Very poor,,Poor,,,
Bad,Not covered,Very hard,,,No time for extracurricular
Too fast,,,Manuals weren't upto date ,Books aren't available ,
Cooperation needed with students,,,,,
More hard work required,,Supervisors are needed ,Internet problems are seen,,
Not good,very bad,,very bad,,disgusting
They need to develop a friendly nature towards learners.,,Includes odd questions which have no importance.,Needs to be conducted in a teamwork. ,,Inadequate response paid towards it. 
The instructor was  not available for individual discussion,,they don't give enough time to complete the paper,Infrastructure and Lab facilities are not good,,
Not on time,,,Very bad infrastructure,,Much needed!!!!
 the teachers prepare for the classes are very poorly,,,Reading material regarding praticles is not available,the library material and facilities are very poor,
very bad,,,needs to be improved,,not sufficient
Teacher has less knowledge of their own subject.,,,,,
not good,,very critical,,,
teaching is not good,,exams were  very hard,,,
hard to understand,not helpful for exams,very critical,,,
Slow voice so it's not that audible,,,,,
Not gud behavior,,,,,Can be more better
very bad and hard to understand,,,,not good,
More Hard work required regarding concepts clearing,,,,Can do Better ,
very bad teaching,,,,,
is not good,,,,not good,
Efforts needed in presentation skills,,,Manuals are difficult to understand!!!!,,
Excellence in performing is required,Too many courses,,,,
not,,not good,,very bad,
very bad,,,,,
poor teaching,,exams were very tough,,,not conducted
teaching is not good,,,,,
Handwriting can't be understood,,,,,
Worst concepts,,,,,
needs to improve a lot,,,,books are not of good authors,
technologywise improvement must happen,,,machines are not upgraded,,no extra curricular activity is conducted
not good,,,,not good,
Hard work regarding notes isn't that up to mark,,,,,
Can't handle the class full of too many students,,,,,
Really bad explaination,Not gud,,,,
Weak communication skill,Not good,,,,
Can't interact that nicely with students,Not good,Unhappy,,,
Weak in programming concepts,Weak planning done ,Not well planned schedules,,,
Only teach in short ,,,,,
No knowledge of curriculum,,,,,
Concepts arent cleared not the doubts,,,Lab assistant are needed to guide us well,Some book are lost ,
Imperfect english language,,,No one is there for contact purpose,Shelves aren't cleaned ,
Electronic concept aren't cleared ,,,Labs aren't clean,Internet access isnt good sometimes for research,
Maths part isn't well explained,,,,Some times central card isnt allowed for books exchange which is annoying !!!!,
Peer tutoring isn't that good method,,,,,
Continue scolding won't help,,,,,High risk activities are included 
Not helpful notes at all,,,,Just casual approach towards returning books,
Not clearing my doubts n ignoring,,,,,
Voice not audible,To small,,Never finishes on time,Staff is not supportive,Staff is not supportive
Poor,Bad,Not good,Never finsh on time,Not good,Bad
Teaching is not good,Too large,Lengthy,Very bad,Not good,
Not good,Never finishes on time,Tough,Never finishes on time,Bad,Not available
Teaching is poor,Not good,Tough,Explanation is poor,Library is not good,Staff is not good
his teaching  skills needed to be better,the contents are not very well explained,,,,the staff is not supportive
teaching is good but voice is not audible,contents are not very well explained,they asked theory question too much  but never concentrate on facts,not useful content and good lecturer,"""The module id not useful ",The teacher is very lazy
The lecturer not very well explained the topic. ,The content has not fuelled my interest in this area of content,The content has not fuelled my interest in this area.,The lab equipment class is not very good ,The library is not very good and helpful,not Well organised and not support
The lectures are not very interesting and make me eager to listen to them. , The contents are not with real-time examples so I am not able to understand better, I not able to understand the questions better in the examination,,,not Very clear and up to date
not good,course content is not completed,very poor,assignments are not taught,,
not understandable,,,hard assignments,less count of books available,not in priority
"The lecturer not makes the lectures quite interesting and attractive and the
exercise class is not very useful”",Not Detailed explanations and clarity,Course is not very nice and lecturer is also not interesting and very helpful”,Lecturing style is not enganging,The library classes are not good because they are not covering all the knowledge ,"The balance between lectures, exercises and support material is not right"
unable to understand,,very tough,,bad experience,
very tough to understand,partially completed,hard,,not satisfactory,not provided
teaching is good,completed,,tough assignments,all varieties are not available,
worst,not completed,,bad experience,,not supported
very bad,incomplete always,numericals were critical ,practicals are not easy,,
Teaching good but get diverted with phone call,Never finshes in time,Have tough questions,Doesnot provide practical knowledge,All books are not available,Staff is average
Teaching is poor,Large  content,Tough,Poor,Not good,All equipmemts are not available
Voice is not audible,Never finishes in time,Tough,Poor,Books are not in good position,Noy always present
Lacks in communication,Never get finishes on time,Tough questions,Never get finishes in time,Books are lenghty,Poor communication
Not good,Not completed,Not well managed,Apparatus not available,Torn books,No extracurricular activities 
 improvement needed,Incomplete ,Guarding issues,Cleanliness issues,Books are not available,No extra activities 
Irresponsible teachers,Incomplete,Bad environment,Problems in practicals,Needy books are not available,No teachers for that
Teachers need to improve themselves,Not finished,Examination halls are not good,Lab assistants are not properly educated,Librarian is irresponsible ,No extracurricular activities 
English is not good,Syllabus is too much,Supervision is not that good,Devices are not well maintained,Books are not available,No extra curricular activities
Timing issues,Difficult,Un scheduled ,Out dated devices,No space for study,Ok ok
Language pdoblems,Hard to understand,Proper management required,Equipments are not a available,Wifi is necessary,Ground needs some improvement 
No importance of time,Necessary syllabus is not available ,Supervision is poor,Lab requires some renovation,No management of books, Needs some attention 
Bad behaviour,Worthless syllabus ,Proper attention required,Useless equipments,Important books are not available,No one is serious about it
Useless teachers,Vast syllabus,Poor checking,Necessary equipments are not available,No sitting arrangements ,Need a good teacher
Cant expect this from teachers,Hard to understand,Halls are not good,Uneducated lab technicians,Unnecessary books,Requirement of some necessary asset's 
English problem,Very hard,Poor management,Cleanliness issues,Books are not available,Poor condition of ground
Syllabus incomplete ,Hard to understand ,No Proper schedule ,More equipments are required,Required books are not available,Extra classes are not available
Rude behaviour,Useless content,No strictness in examination ,Required equipments are not available ,Old books,Teachers should be informed about it
Lazy habits,Vast but not deep,Improper judgement,Equipments required,Wifi required,Swimming pool required
Language problems,Deep but useless,Hygiene required,More equipments required,New books are required,Fitness club is not available
Poor language ,Hard,No Discipline,New equipments required,Old books,Fitness equipments requires
English problems,Vast,No proper sitting arrangement,Old devices,Torn books,Ground condition is poor
No time importance,Vast but useless,Poor supervision,Need more devices,No WiFi for students,No gaming equipments
Poor behaviour,Very hard,Conjusted exam halls,Broken devices,No new books,Ground needs some attention
No strictness in class,Vast and hard,No water arrangement,Poor technicians,Useless books,Teacher needs some attention
The teachings are worst among the all.,,,Needed to be improved,,
"Good, but timing issues.",,,,,Awsome
Not that good.,,Exams are always out of syllabus,Needed to be Improved,Yet to be improved.,
There should be some improvement .,Its very vast.,,Not conducted timely,,Need to be conducted more seriously
Teaching should be better,course content could have been better,exams are conducted very tough,,very bad library,No extra curricular activities in this sem
,The topics and assignments were at an appropriate level of difficulty.,The amount of material covered was inappropriate.,,,they don't provide any work for this
,Not paying much attention,,,,
,courses content are difficult to understand.,The syllabus for examination is too more than to read.,,,
,I expect the content to be raised to the standard which is required,,,Not upto the mark at which labwork is being done. ,
,The topics and assignments were at an appropriate level of difficulty.,The amount of material covered was inappropriate.,,,they don't provide any work for this
,Not paying much attention,,,,
,courses content are difficult to understand.,The syllabus for examination is too more than to read.,,,
,I expect the content to be raised to the standard which is required,,,Not upto the mark at which labwork is being done. ,
,The instructor was not interested in course.,what the instructor taught and what comes up in the exam are not similar, management is not good enough according to the amount they charge,,not enough time for doing this 
,The course content is not precise and module as a whole is not very well delivered ,,,,
,Some other courses can be added.,Exams aren't started on time,,Librarian can't handle other than English language ,
,The course component was stimulating.,The topics and assignments were at an appropriate level of difficulty.,,facilities are not good at exam time,
,Need to work on contents,,,,Encouraging and focus needed on sports skills.
,No need of Extra courses,,Chairs in the labs aren't good,Some books arent being ordered even after instructing librarian.,"Other than sports some extra curricular activities like competition in Fields of coding ,IoT should be included."
,Not satisfied,Boring,,,
,Background for benefiting from the courses was noot goood,can able to write answer without reading ,the equipments in lab are not in good condition ,,
,Not well versed ,,,Language and communication problems are faced many times...,
,Irrelevant,Out of syllabus questions,Not that gud labs,Unclean librarry,
,not covered in time,,,,
,not completed ,,,,
,Interaction needed,Poor printing,,,
,Too much syllabus,Out of syllabus questions asked ,,,
,Course content is too much,,,,
,courses are not completed,,,not good,
,not easy to learn,,assignments completed in time,,not in count
,Does not give enough time to develop skills.,Examination does not test skills.,,Requires more books from international renounced authors.,Bad
,its rubbish.... how could one design such a worst curriculam,very bad examination pattern,,,
,irrelevant courses ,,,books are provided,
,Contents are too heavy to understand,Sometimes too many exam bring stress in life,,,
,Never finshes on time,Tough,Never finishes on time,,Not available
,not completed in time,too hard,,not good,same priority as study
,not completed,very critical,,,
,very hard to understand,,taught properly,variety of data available,
,not completed,tough to solve,assignments not covered,all kind of books are available,
,Not that easy to understand,,Labs aren't opened in required timing,Owner isn't experienced about books,Football club should be included
,New Syllabus contents are awsome,Exams are out of context.,,The facilities are useless,
,Worst,Out of Context,Need to be Improved,Better amongst all.,
,Not Good,,,Should be conducted regularly,
,Not good.,,Not conducted regularly.,Should be Improved.,
,Not good.,,Not conducted regularly.,Should be Improved.,
,Not good.,,Not conducted regularly.,Should be Improved.,
,,He was not prepared to explain the course for examination.,,The library facilities are not good.,They don't provide the time for extracurricular activities
,,Tough,No focus on labwork,,
,,I hate using my Brain right now,,,
